QA,answers,length,sentiment,sim_wrt_topic,topic_rank
the machines are digging and will reach zion in hours,"[('zion', 1.4054651081081644), ('machines', 1.4054651081081644), ('digging', 2.09861228866811), ('hours', 2.09861228866811), ('reach', 2.09861228866811)]",10,"{'neg': 0.0, 'neu': 0.891, 'pos': 0.109, 'compound': 0.0258}",0.9352530837059021,1
morpheus has no choice but to let the other twin through,"[('choice', 1.4054651081081644), ('morpheus', 1.4054651081081644), ('let', 1.6931471805599454), ('twin', 2.09861228866811)]",11,"{'neg': 0.138, 'neu': 0.862, 'pos': 0.0, 'compound': -0.1531}",0.961506724357605,0
the image zooms further in there coding everywhere making out jungle of shapes,"[('making', 1.6931471805599454), ('image', 1.6931471805599454), ('coding', 2.09861228866811), ('jungle', 2.09861228866811), ('shapes', 2.09861228866811)]",13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.9963008165359497,2
inside the matrix morpheus says they are everyone and they are no one,"[('matrix', 1.0), ('inside', 1.4054651081081644), ('says', 1.4054651081081644), ('morpheus', 1.4054651081081644)]",13,"{'neg': 0.155, 'neu': 0.845, 'pos': 0.0, 'compound': -0.296}",0.9523941874504089,1
the image zooms further in there coding everywhere making out jungle of shapes,"[('making', 1.6931471805599454), ('image', 1.6931471805599454), ('coding', 2.09861228866811), ('jungle', 2.09861228866811), ('shapes', 2.09861228866811)]",13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.9608583450317383,3
they try to take morpheus body for their own but neo prevents it,"[('body', 1.4054651081081644), ('neo', 1.4054651081081644), ('morpheus', 1.4054651081081644), ('try', 1.6931471805599454), ('prevents', 2.09861228866811)]",13,"{'neg': 0.0, 'neu': 0.892, 'pos': 0.108, 'compound': 0.1154}",0.9589661955833435,0
link communicates with one of the gate operators and they are let inside,"[('inside', 1.4054651081081644), ('gate', 1.6931471805599454), ('let', 1.6931471805599454), ('link', 1.6931471805599454), ('operators', 2.09861228866811)]",13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.9409003257751465,1
cypher pulls the plug out of the back of apoc head and apoc falls down dead in the matrix,"[('matrix', 1.0), ('falls', 1.4054651081081644), ('head', 1.4054651081081644), ('pulls', 1.6931471805599454), ('apoc', 2.09861228866811)]",19,"{'neg': 0.193, 'neu': 0.807, 'pos': 0.0, 'compound': -0.6486}",0.9845965504646301,2
good bye mr anderson says smith the sentinels lasers are beginning to cut through the major parts of the hovercraft,"[('smith', 1.4054651081081644), ('sentinels', 1.4054651081081644), ('says', 1.4054651081081644), ('good', 1.6931471805599454), ('major', 1.6931471805599454)]",20,"{'neg': 0.091, 'neu': 0.783, 'pos': 0.126, 'compound': 0.2023}",0.9525789022445679,1
neo final words to smith are it was inevitable quoting smith oft spoken admonition smith assimilation of neo is seemingly successful and when the oracle smith asks neo smith whether it is over he receives nod and smile as reply,"[('asks', 1.4054651081081644), ('neo', 1.4054651081081644), ('oracle', 1.4054651081081644), ('smith', 1.4054651081081644), ('reply', 1.6931471805599454)]",40,"{'neg': 0.0, 'neu': 0.858, 'pos': 0.142, 'compound': 0.743}",0.9776121377944946,0
